Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;00:58:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;00:59:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:00:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
16/12/2006;01:01:00;2.950;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;01:02:00;2.950;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;01:03:00;2.950;0.000;240.930;12.400;0.000;0.000;0.000
16/12/2006;01:04:00;2.950;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;01:05:00;2.950;0.000;240.930;12.400;0.000;0.000;0.000
16/12/2006;01:06:00;2.950;0.000;240.860;12.400;0.000;0.000;0.000
16/12/2006;01:07:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
16/12/2006;01:08:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
16/12/2006;01:09:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:10:00;2.952;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:11:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:12:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:13:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:14:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:15:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
16/12/2006;01:16:00;2.952;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:17:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:18:00;2.948;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:19:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:20:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:21:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:22:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:23:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:24:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:25:00;2.950;0.000;240.580;12.400;0.000;0.000;0.000
16/12/2006;01:26:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:27:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:28:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:29:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:30:00;2.950;0.000;240.790;12.400;0.000;0.000;0.000
16/12/2006;01:31:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:32:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:33:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
16/12/2006;01:34:00;2.950;0.000;240.650;12.400;0.000;0.000;0.000
16/12/2006;01:35:00;2.950;0.000;240.720;12.400;0.000;0.000;0.000
